,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,sulphates,alcohol,aggregated sulfur,quality
0,-0.5281943702487266,0.9615758497615483,-1.3910371025826418,-0.45307666524694284,-0.24363046870567837,-0.5790253785668822,-0.959945795360513,-0.4268197857111688,5
1,-0.2984540647668667,1.9668271476507642,-1.3910371025826418,0.04340256663998421,0.22380518049685957,0.1289100721748856,-0.5845942253084874,0.7298924625146965,5
2,-0.2984540647668667,1.2966596157246204,-1.1856994924804327,-0.1693742470258418,0.09632273071434914,-0.04807379051055652,-0.5845942253084874,0.16384178785097517,5
3,1.6543385318289447,-1.3840105119799544,1.4836894388482846,-0.45307666524694284,-0.2648775436694301,-0.4610361367765881,-0.5845942253084874,0.3607289790383565,6
4,-0.5281943702487266,0.9615758497615483,-1.3910371025826418,-0.45307666524694284,-0.24363046870567837,-0.5790253785668822,-0.959945795360513,-0.4268197857111688,5
5,-0.5281943702487266,0.7381866724528341,-1.3910371025826418,-0.524002269802218,-0.2648775436694301,-0.5790253785668822,-0.959945795360513,-0.22993259452378748,5
6,-0.24101898839640132,0.403102906489762,-1.0830306874293283,-0.6658534789127685,-0.3923599934519402,-1.1689715875183555,-0.959945795360513,0.2868962823430885,5
9,-0.4707592938782617,-0.15537003678202432,0.4570013883372393,2.5257987260746186,-0.34986584352443706,0.8368455229166534,0.07227102228255619,1.3943867327721085,5
11,-0.4707592938782617,-0.15537003678202432,0.4570013883372393,2.5257987260746186,-0.34986584352443706,0.8368455229166534,0.07227102228255619,1.3943867327721085,5
12,-1.562025744917098,0.48687384798053,-1.3910371025826418,-0.6658534789127685,0.03258150582309422,-0.8150038621474717,-0.4907563327954814,0.31150718124151117,5
16,0.10359146982638878,-1.3840105119799544,1.4836894388482846,-0.524002269802218,0.09632273071434914,0.5418724184409165,0.07227102228255619,1.8619938118421393,7
18,-0.5281943702487266,0.34725561216258327,-0.9803618823782236,1.3200634486349394,-0.031159719068161285,-0.9329931039377665,-1.3352973654125386,-0.6729287746953955,4
20,0.3333317753082492,-1.7190942779430265,1.0730142186438663,-0.524002269802218,-0.22238339374192664,-0.7560092412523244,-0.959945795360513,0.6560597658194285,6
21,-0.4133242175077969,-0.7696902743809894,0.2003293757094781,-0.1693742470258418,-0.11614801892316824,-0.04807379051055652,-0.678432117821495,0.7791142603115419,5
22,-0.24101898839640132,-0.5463010970722748,-0.31301464954604447,-0.6658534789127685,0.3937817802068732,1.4857863527632738,-0.866107902847507,-0.3775979879143235,5
23,0.10359146982638878,-0.21121733110920302,-0.826358674801567,-0.1693742470258418,-0.07365386899566446,-0.7560092412523244,-0.959945795360513,0.33611808013993383,5
24,-0.8153697521010519,-0.7138429800538106,-0.6723554672249101,-0.09844864247056646,-0.05240679403191273,-0.16606303230085126,-0.678432117821495,-0.033045403336406154,6
25,-1.1599802103238424,-0.7696902743809894,-0.5696866621738057,-0.8077046880233192,-0.15864216885067142,-0.5790253785668822,-1.053783687873519,-0.6975396735938182,5
26,-0.4133242175077969,-0.6579956857266323,-0.1590114419693877,-0.524002269802218,-0.15864216885067142,-0.40204151588144077,-0.866107902847507,-1.1651467526638488,5
27,-0.24101898839640132,-0.5463010970722748,-0.31301464954604447,-0.6658534789127685,0.3937817802068732,1.4857863527632738,-0.866107902847507,-0.3775979879143235,5
28,-0.7004995993601222,1.017423144088727,-1.3910371025826418,-0.45307666524694284,-0.15864216885067142,-0.6380199994620296,-0.959945795360513,-0.32837619011747815,5
